Date,Open,High,Low,Close,Volume,Market Cap
"Jun 30, 2017",9.73,13.38,4.76,9.01,17737,35633600
"Jun 29, 2017",10.58,14.61,7.91,9.72,36324,38691700
"Jun 28, 2017",16.27,16.27,9.33,10.59,10991,59482100
"Jun 27, 2017",9.71,16.16,8.03,16.16,58054,35293000
"Jun 26, 2017",13.13,17.69,9.50,9.50,19036,47709600
"Jun 25, 2017",18.81,23.44,12.45,13.15,30563,68327700
"Jun 24, 2017",19.64,19.86,16.52,18.79,1828,71299900
"Jun 23, 2017",17.24,19.86,13.64,19.63,2056,62536600
"Jun 22, 2017",16.87,17.74,12.12,17.24,1902,61099000
"Jun 21, 2017",16.87,16.87,16.85,16.87,6985,61026000
"Jun 20, 2017",16.24,17.74,10.55,16.87,2229,58635700
"Jun 19, 2017",14.99,17.74,8.99,16.24,981,53981200
"Jun 18, 2017",10.49,14.99,10.49,14.99,914,37774500
"Jun 17, 2017",14.99,16.74,10.49,10.49,1230,53690100
"Jun 16, 2017",14.43,14.99,13.86,14.99,351,17952400
"Jun 15, 2017",10.08,14.45,7.19,14.45,2922,12336300
"Jun 14, 2017",11.40,16.43,9.63,10.08,14219,-
"Jun 13, 2017",11.23,14.02,11.13,11.41,9395,-
