Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",1.80,1.82,1.48,1.78,"3,648,900","423,370,000"
"Jun 26, 2017",1.89,2.01,1.46,1.80,"5,791,180","445,388,000"
"Jun 25, 2017",2.05,2.11,1.80,1.89,"3,225,560","481,633,000"
"Jun 24, 2017",2.17,2.24,2.02,2.06,"2,735,200","509,365,000"
"Jun 23, 2017",2.01,2.24,1.95,2.17,"3,754,720","472,276,000"
"Jun 22, 2017",1.98,2.01,1.89,2.01,"2,838,420","465,514,000"
"Jun 21, 2017",2.04,2.06,1.85,1.98,"4,478,590","478,660,000"
"Jun 20, 2017",2.12,2.21,1.93,2.04,"7,175,230","498,126,000"
"Jun 19, 2017",2.00,2.24,1.98,2.12,"8,208,350","469,892,000"
"Jun 18, 2017",2.04,2.07,1.98,2.00,"3,193,610","479,184,000"
"Jun 17, 2017",2.09,2.10,2.01,2.04,"3,062,660","490,186,000"
"Jun 16, 2017",2.03,2.11,1.91,2.08,"3,660,240","476,585,000"
"Jun 15, 2017",1.98,2.10,1.64,2.03,"4,992,090","464,118,000"
"Jun 14, 2017",2.37,2.44,1.87,1.97,"6,150,010","556,000,000"
"Jun 13, 2017",2.08,2.45,2.05,2.37,"8,685,200","487,061,000"
"Jun 12, 2017",2.46,2.48,1.97,2.08,"7,957,900","575,391,000"
"Jun 11, 2017",2.22,2.48,2.19,2.45,"7,880,470","519,354,000"
"Jun 10, 2017",2.50,2.72,2.20,2.24,"14,081,000","585,447,000"
"Jun 09, 2017",2.36,2.80,2.30,2.49,"18,823,000","551,073,000"
"Jun 08, 2017",2.14,2.37,2.04,2.36,"11,297,400","501,907,000"
"Jun 07, 2017",2.61,2.61,1.89,2.09,"30,080,400","611,817,000"
"Jun 06, 2017",1.72,2.74,1.44,2.60,"46,267,200","403,229,000"
"Jun 05, 2017",1.28,1.73,1.28,1.72,"11,290,300","300,712,000"
"Jun 04, 2017",1.29,1.35,1.18,1.30,"4,379,190","303,356,000"
"Jun 03, 2017",1.32,1.46,1.17,1.30,"9,131,440","310,132,000"
"Jun 02, 2017",1.00,1.34,1.00,1.32,"5,171,210","235,431,000"
"Jun 01, 2017",0.950098,1.04,0.948211,1.00,"2,472,990","222,636,000"
"May 31, 2017",0.929234,1.00,0.855396,0.950807,"2,570,200","217,655,000"
"May 30, 2017",0.970721,1.02,0.917210,0.925792,"2,088,460","227,345,000"
"May 29, 2017",0.952227,1.01,0.891542,0.970867,"1,857,810","222,812,000"
"May 28, 2017",0.815165,1.05,0.815165,0.957411,"3,137,380","190,537,000"
"May 27, 2017",0.961441,0.997929,0.630137,0.819755,"4,019,140","224,638,000"
"May 26, 2017",1.08,1.31,0.927384,0.960876,"4,110,000","252,678,000"
