Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",1.94,2.00,1.75,1.82,"13,124,400","165,630,000"
"Jun 28, 2017",1.65,2.02,1.53,1.93,"18,881,900","141,156,000"
"Jun 27, 2017",1.58,1.69,1.36,1.61,"15,948,100","135,063,000"
"Jun 26, 2017",1.84,2.02,1.31,1.65,"20,201,800","157,380,000"
"Jun 25, 2017",2.01,2.03,1.76,1.84,"9,783,360","171,806,000"
"Jun 24, 2017",1.93,2.25,1.88,2.02,"10,879,200","165,000,000"
"Jun 23, 2017",1.97,2.25,1.93,1.93,"879,327","168,697,000"
"Jun 22, 2017",2.16,2.24,1.90,1.97,"13,570,700","184,914,000"
"Jun 21, 2017",2.01,2.42,1.75,2.16,"17,098,100","171,604,000"
"Jun 20, 2017",2.73,2.77,1.92,2.02,"19,919,400","233,419,000"
"Jun 19, 2017",1.03,2.85,1.01,2.75,"90,407,600","88,486,200"
"Jun 18, 2017",1.10,1.13,1.02,1.04,"3,247,280","93,700,100"
"Jun 17, 2017",1.04,1.17,1.01,1.09,"7,002,060","89,026,000"
"Jun 16, 2017",0.950506,1.06,0.882228,1.05,"6,581,250","81,323,700"
"Jun 15, 2017",0.976932,0.993639,0.828930,0.949401,"6,334,770","83,584,700"
"Jun 14, 2017",1.03,1.05,0.957863,0.972112,"3,438,590","88,020,700"
"Jun 13, 2017",0.983953,1.10,0.983953,1.04,"3,384,600","84,185,400"
"Jun 12, 2017",1.12,1.12,0.908389,0.983923,"4,705,390","95,901,500"
"Jun 11, 2017",1.15,1.20,1.03,1.12,"4,331,850","98,630,000"
"Jun 10, 2017",1.13,1.27,1.10,1.16,"8,798,240","96,504,700"
"Jun 09, 2017",1.16,1.21,1.12,1.14,"6,524,570","99,255,400"
"Jun 08, 2017",1.06,1.16,0.989511,1.16,"4,986,630","90,898,100"
"Jun 07, 2017",1.15,1.17,1.07,1.07,"3,449,690","98,079,800"
"Jun 06, 2017",0.916379,1.24,0.872755,1.15,"10,929,100","78,403,900"
"Jun 05, 2017",0.885146,0.976374,0.865844,0.917434,"2,943,070","75,731,600"
"Jun 04, 2017",0.874412,0.901071,0.852632,0.889301,"1,944,060","74,813,300"
"Jun 03, 2017",0.919645,0.965746,0.799757,0.866421,"4,987,880","78,683,300"
"Jun 02, 2017",0.816007,0.937691,0.773376,0.937691,"4,523,520","69,816,200"
"Jun 01, 2017",0.742050,0.850514,0.714521,0.816761,"3,733,050","63,488,600"
