Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",744.63,780.58,686.26,780.58,"546,278","190,247,000"
"Jun 26, 2017",775.23,813.88,653.55,737.25,"1,119,280","198,064,000"
"Jun 25, 2017",754.55,790.80,711.58,777.80,"408,562","192,781,000"
"Jun 24, 2017",791.17,799.08,710.28,757.55,"316,743","202,138,000"
"Jun 23, 2017",715.92,796.83,699.34,791.26,"195,398","182,911,000"
"Jun 22, 2017",687.36,757.77,673.45,715.92,"209,923","175,616,000"
"Jun 21, 2017",701.10,746.65,649.89,687.36,"402,401","179,126,000"
"Jun 20, 2017",755.01,764.30,700.77,711.71,"290,958","192,899,000"
"Jun 19, 2017",760.38,820.20,702.36,755.01,"570,875","194,271,000"
"Jun 18, 2017",730.52,774.11,702.70,761.85,"613,952","186,643,000"
"Jun 17, 2017",652.08,735.70,645.00,728.40,"367,130","166,601,000"
"Jun 16, 2017",643.34,676.06,606.46,652.08,"424,037","164,368,000"
"Jun 15, 2017",640.78,655.98,553.04,643.82,"602,578","163,714,000"
"Jun 14, 2017",724.95,746.56,610.80,640.81,"648,622","185,218,000"
"Jun 13, 2017",633.21,739.73,617.82,725.37,"688,580","161,781,000"
"Jun 12, 2017",684.49,716.78,562.38,646.47,"702,939","174,882,000"
"Jun 11, 2017",699.96,742.33,659.32,685.11,"861,105","178,834,000"
"Jun 10, 2017",721.96,754.44,607.86,700.37,"1,875,640","184,455,000"
"Jun 09, 2017",863.37,943.21,601.04,707.70,"2,364,990","163,423,000"
"Jun 08, 2017",760.89,881.31,742.58,864.73,"574,678","144,024,000"
"Jun 07, 2017",752.08,866.00,724.88,751.80,"409,123","142,357,000"
"Jun 06, 2017",802.93,868.96,740.66,747.55,"470,552","151,981,000"
"Jun 05, 2017",777.17,913.23,739.18,805.75,"591,312","147,106,000"
"Jun 04, 2017",763.09,920.80,732.48,777.12,"1,142,000","144,441,000"
"Jun 03, 2017",632.24,859.20,545.27,765.16,"1,141,110","119,673,000"
"Jun 02, 2017",515.30,665.13,490.53,635.92,"585,545","97,537,200"
"Jun 01, 2017",411.35,545.38,411.35,515.06,"701,612","77,861,000"
"May 31, 2017",339.56,416.01,331.80,415.97,"338,371","64,273,600"
"May 30, 2017",319.39,358.38,303.46,336.33,"234,216","60,455,000"
